NN_M,NN_PSM,City,County?,Agency,State,Variable,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
0,0,Brownsville,0,Brownsville Police Dept,TX,Violent Crime Total,995,1301,1265,1404,727,773,822,874,1097,920,817,1151,1271,904,783,912,809,806,757,851,903,867,880,634,454,563,500,473,473,558
0,0,Brownwood,0,Brownwood Police Dept,TX,Violent Crime Total,33,60,98,93,141,124,140,164,133,132,126,139,107,117,135,212,235,219,121,87,82,128,113,87,88,123,89,103,61,68
0,0,Bryan,0,Bryan Police Dept,TX,Violent Crime Total,396,440,332,491,463,518,570,558,512,537,477,503,443,381,387,440,459,490,611,700,617,589,596,573,567,410,425,312,358,338
0,0,Burkburnett,0,Burkburnett Police Dept,TX,Violent Crime Total,10,20,21,22,23,24,23,26,16,15,5,8,10,4,9,1,8,16,7,2,5,1,8,14,18,5,23,34,34,21
0,0,Burleson,0,Burleson Police Dept,TX,Violent Crime Total,22,22,35,27,14,31,33,22,31,24,34,29,41,32,31,33,33,36,47,42,49,57,62,72,69,69,79,67,57,69
0,0,Cameron,1,Cameron County Sheriff Department,TX,Violent Crime Total,155,169,136,162,151,188,187,260,231,150,,119,180,305,264,222,203,233,301,291,293,193,201,352,364,157,159,143,114,191
0,0,Canyon,0,Canyon Police Dept,TX,Violent Crime Total,1,10,8,10,10,16,11,14,8,23,10,11,25,9,20,17,8,4,16,15,3,10,3,9,13,13,15,17,16,9
0,0,Carrollton,0,Carrollton Police Dept,TX,Violent Crime Total,102,119,157,178,179,193,241,228,206,253,307,349,417,405,239,208,191,257,238,246,300,229,237,293,250,184,206,180,185,166
0,0,Cedar,0,Cedar Hill Police Dept,TX,Violent Crime Total,36,38,42,35,54,51,51,53,27,24,23,30,51,40,58,96,84,154,118,91,123,117,103,123,121,104,108,106,89,93
0,0,Cedar,0,Cedar Park City Police Dept,TX,Violent Crime Total,31,21,9,18,25,7,17,11,8,21,24,27,30,12,8,24,46,64,54,52,85,94,42,63,70,58,70,109,69,67
0,0,Chambers,1,Chambers County Sheriff Department,TX,Violent Crime Total,49,48,49,39,44,42,50,48,35,32,32,43,31,23,29,22,49,64,72,55,54,92,124,70,84,49,54,67,57,80
0,0,Cherokee,1,Cherokee County Sheriff Department,TX,Violent Crime Total,17,26,22,53,33,123,86,51,64,217,65,50,83,83,93,126,105,108,88,89,101,97,76,66,97,66,79,76,80,74
0,0,Cibolo,0,Cibolo Police Dept,TX,Violent Crime Total,,,,,,,,,,,,,,,,,,,,13,17,12,8,14,18,17,21,23,16,15
0,0,City,0,City Of College Station Police Dept,TX,Violent Crime Total,93,129,139,113,116,120,100,109,128,152,150,131,170,131,124,134,112,141,164,197,206,210,251,245,170,220,288,491,379,191
0,0,City,0,City Of Deer Park Police Dept,TX,Violent Crime Total,27,27,24,62,71,87,195,121,63,64,71,66,77,36,30,25,29,33,60,59,43,71,76,85,79,28,39,46,,46
0,0,City,0,City Of Fort Worth Police Dept,TX,Violent Crime Total,6352,7870,7691,7326,6668,7826,8914,9392,6979,6035,5344,4984,4313,4329,4246,3816,3864,4243,3751,3784,3920,4219,4477,4627,4245,4301,4569,4525,4440,4492
0,0,City,0,City Of Galena Park Police Dept,TX,Violent Crime Total,6,2,9,8,14,13,17,89,52,38,18,34,27,34,20,26,34,40,33,28,33,32,26,16,31,19,17,49,18,28
0,0,City,0,City Of Port Arthur Police Dept,TX,Violent Crime Total,305,408,527,635,833,1034,913,1364,985,896,715,629,568,460,426,431,351,368,437,293,370,394,475,403,433,419,434,344,359,341
0,0,City,0,City Of Port Lavaca Police Dept,TX,Violent Crime Total,46,35,38,34,37,48,73,156,146,76,63,44,53,44,58,65,48,38,24,41,33,32,21,36,64,119,81,,,66
0,0,City,0,City Of Port Neches Police Dept,TX,Violent Crime Total,18,13,17,21,26,34,45,38,48,47,25,27,31,32,40,21,37,32,31,25,30,12,29,35,16,34,49,33,37,56
0,0,City,0,City Of University Park Police Dept,TX,Violent Crime Total,19,28,37,26,31,31,49,30,31,20,14,19,21,18,27,14,15,25,24,10,17,20,11,5,12,12,8,11,8,4
0,0,City,0,City Of Waco Police Dept,TX,Violent Crime Total,791,941,962,1028,1171,1366,1418,1356,1666,1746,1508,1352,1243,1126,1038,938,903,945,809,856,895,952,1139,1031,883,838,766,635,515,576
0,0,Cleburne,0,Cleburne Police Dept,TX,Violent Crime Total,73,32,37,41,36,21,56,77,82,98,93,72,123,102,108,91,130,130,139,148,151,163,146,139,198,174,159,147,91,76
0,0,Clute,0,Clute Police Dept,TX,Violent Crime Total,29,29,30,70,35,38,33,30,35,36,35,38,39,35,32,41,44,63,69,62,71,56,49,54,46,54,53,25,,15
0,0,Colleyville,0,Colleyville Police Dept,TX,Violent Crime Total,4,3,7,8,11,13,12,18,6,8,9,10,14,22,15,22,6,13,10,10,10,9,8,4,2,5,9,5,9,10
0,0,Collin,1,Collin County Sheriff Department,TX,Violent Crime Total,131,95,112,117,66,71,138,99,97,108,117,71,60,129,64,72,89,98,85,56,73,96,74,80,81,88,89,74,69,57
0,0,Comal,1,Comal County Sheriff Department,TX,Violent Crime Total,37,34,20,22,35,31,33,66,166,238,136,83,66,91,89,89,99,101,129,126,133,159,129,169,158,230,182,219,148,214
0,0,Conroe,0,Conroe Police Dept,TX,Violent Crime Total,216,263,172,147,235,385,438,431,442,403,276,250,281,265,242,307,303,353,388,358,341,238,253,254,252,248,194,221,216,207
0,0,Converse,0,Converse Police Dept,TX,Violent Crime Total,14,6,13,25,46,71,75,75,84,31,38,26,41,18,10,26,26,20,23,12,8,7,32,24,34,31,32,71,124,88
0,0,Coppell,0,Coppell Police Dept,TX,Violent Crime Total,15,25,11,14,39,28,11,17,11,8,28,28,28,32,33,11,25,29,21,23,22,29,40,27,43,66,33,27,17,23
0,0,Copperas,0,Copperas Cove Police Dept,TX,Violent Crime Total,82,57,61,98,139,196,77,111,121,128,82,75,82,266,184,146,111,136,152,101,107,109,115,127,110,149,122,118,94,112
0,0,Corinth,0,Corinth City Police Dept,TX,Violent Crime Total,4,6,2,1,0,3,3,2,1,5,0,1,8,8,5,10,10,9,9,7,3,16,15,21,29,20,19,34,14,19
0,0,Corpus,0,Corpus Christi Police Dept,TX,Violent Crime Total,932,1355,1825,2001,1994,1607,2168,2561,2225,2371,2764,3020,2867,2095,2485,2104,2465,2063,2462,1996,2048,2070,2367,2226,2365,2068,1987,2057,1939,2094
0,0,Corsicana,0,Corsicana Police Dept,TX,Violent Crime Total,60,127,80,97,130,123,109,137,159,159,113,130,86,72,80,81,86,90,69,70,86,62,88,97,101,112,243,157,121,120
0,0,Coryell,1,Coryell County Sheriff Office,TX,Violent Crime Total,11,15,4,12,11,14,13,17,12,17,10,12,7,9,13,8,10,24,21,18,20,9,18,10,25,9,12,8,3,14
0,0,Crowley,0,Crowley Police Dept,TX,Violent Crime Total,20,28,30,36,18,29,20,29,41,20,20,26,18,8,18,17,22,30,22,30,23,29,26,19,26,29,20,17,14,33
0,0,Dallas,1,Dallas County Sheriff Department,TX,Violent Crime Total,102,109,97,163,159,214,190,194,204,204,120,136,189,103,119,83,54,108,91,108,43,42,45,28,53,23,28,51,34,47
0,0,Dallas,0,Dallas Police Dept,TX,Violent Crime Total,14364,19275,20086,21135,21228,24550,26411,21682,18176,16886,15969,16280,14915,15932,15435,16042,17776,17018,16865,16165,15429,15058,13248,11420,10221,9161,8330,8380,8330,8457
0,0,De,0,De Soto Police Dept,TX,Violent Crime Total,52,55,55,52,80,70,80,104,98,115,100,86,113,126,129,190,135,140,135,153,141,103,165,163,178,135,150,132,179,147
0,0,Del,0,Del Rio Police Dept,TX,Violent Crime Total,155,196,114,144,152,121,405,231,109,138,272,173,157,156,131,145,73,68,165,65,58,40,73,92,89,73,91,61,72,48
0,0,Denison,0,Denison Police Dept,TX,Violent Crime Total,228,295,273,253,212,208,163,200,176,138,150,170,77,79,74,61,61,69,90,96,83,93,111,112,92,78,91,94,95,88
0,0,Denton,1,Denton County Sheriff Department,TX,Violent Crime Total,69,65,110,156,56,90,62,54,34,79,55,45,28,58,158,121,96,116,74,88,90,78,115,79,87,85,137,61,65,52
0,0,Denton,0,Denton Police Dept,TX,Violent Crime Total,356,410,321,456,429,413,511,445,490,408,378,378,320,317,323,270,309,372,373,407,379,336,365,346,307,312,311,369,338,338
0,0,Dickinson,0,Dickinson City Police Dept,TX,Violent Crime Total,37,15,19,53,87,155,136,76,66,72,47,40,58,49,48,49,61,54,58,64,43,56,65,62,64,45,48,49,37,54
0,0,Donna,0,Donna City Police Dept,TX,Violent Crime Total,18,41,39,86,131,101,68,91,42,63,74,59,51,59,81,,65,86,88,60,85,90,99,117,134,113,116,139,154,166
0,0,Dumas,0,Dumas Police Dept,TX,Violent Crime Total,6,3,2,2,3,5,5,27,64,52,57,55,70,47,32,36,53,63,63,65,33,28,54,55,51,39,43,33,50,38
0,0,Duncanville,0,Duncanville Police Dept,TX,Violent Crime Total,70,63,79,95,110,170,139,123,173,168,177,221,175,160,152,168,212,179,163,165,169,110,133,138,183,135,126,119,146,125
0,0,Eagle,0,Eagle Pass Police Dept,TX,Violent Crime Total,66,45,37,44,44,57,149,266,181,177,117,39,58,37,74,25,40,36,37,45,72,102,114,66,41,58,56,53,29,36
0,0,Ector,1,Ector County Sheriff Department,TX,Violent Crime Total,92,120,49,53,64,62,65,40,49,80,39,42,98,101,75,122,147,133,139,82,47,54,53,58,76,154,182,57,100,313
0,0,Edinburg,0,Edinburg Police Dept,TX,Violent Crime Total,245,113,80,101,135,261,181,128,183,172,211,234,340,292,254,327,299,284,265,499,442,263,269,285,267,232,282,357,277,296
0,0,El,0,El Campo Police Dept,TX,Violent Crime Total,51,48,35,17,35,69,47,45,66,65,48,57,57,57,41,58,57,55,54,41,39,39,35,31,50,39,49,37,54,50
0,0,El Paso,1,El Paso County Sheriff Department,TX,Violent Crime Total,149,220,209,215,239,336,340,367,459,460,372,349,335,298,343,282,250,279,262,238,210,218,226,224,271,310,237,250,209,278
0,0,El Paso,0,El Paso Police Dept,TX,Violent Crime Total,3662,4734,4332,4505,4722,5111,5616,5826,6109,5369,4948,5138,4849,4374,4280,4396,4386,3892,3502,3242,2621,2422,2574,2825,2830,2861,2858,2859,2522,2671
0,0,Ellis,1,Ellis County Sheriff Office,TX,Violent Crime Total,100,106,68,72,107,202,170,131,38,97,88,109,70,53,87,129,117,137,111,90,146,157,170,70,103,68,51,44,37,30
0,0,Ennis,0,Ennis Police Dept,TX,Violent Crime Total,41,23,17,31,34,69,64,40,38,84,93,82,99,55,73,61,71,82,66,61,50,69,104,123,91,65,76,62,61,56
0,0,Euless,0,Euless Police Dept,TX,Violent Crime Total,132,121,215,162,150,135,135,146,106,127,121,133,146,114,112,102,124,107,125,95,162,103,115,134,108,141,128,95,89,64
0,0,Farmers,0,Farmers Branch Police Dept,TX,Violent Crime Total,58,56,108,76,84,130,95,104,97,50,105,90,67,71,68,82,80,72,65,73,57,65,77,76,71,51,37,35,65,61
0,0,Flower,0,Flower Mound Police Dept,TX,Violent Crime Total,35,22,27,27,38,90,107,117,123,114,64,31,22,31,31,38,33,51,46,46,31,38,48,54,48,43,51,21,39,38
0,0,Forest,0,Forest Hill Police Dept,TX,Violent Crime Total,88,97,101,80,104,104,146,129,139,112,114,121,89,91,114,106,98,92,124,83,87,95,78,97,114,93,78,64,,32
0,0,Forney,0,Forney Police Dept,TX,Violent Crime Total,12,3,12,16,11,15,19,28,50,21,19,8,9,14,5,12,16,13,15,20,11,19,22,18,24,25,30,21,19,26
0,0,Fort,1,Fort Bend County Sheriff Department,TX,Violent Crime Total,167,123,87,118,142,169,180,169,189,246,294,282,341,379,463,528,488,489,587,642,662,703,784,1041,1037,896,902,804,808,938
0,0,Fredericksburg,0,Fredericksburg Police Dept,TX,Violent Crime Total,10,5,4,2,5,6,1,4,4,8,20,6,7,3,1,4,1,3,1,11,2,9,5,10,7,1,4,7,9,7
0,0,Freeport,0,Freeport Police Dept,TX,Violent Crime Total,36,60,48,42,47,57,68,77,73,83,60,70,71,68,57,75,65,60,54,49,83,47,63,37,28,35,41,36,28,40
0,0,Friendswood,0,Friendswood Police Dept,TX,Violent Crime Total,22,54,27,32,23,45,36,49,55,38,39,29,74,67,77,67,44,45,72,43,42,42,38,36,27,25,12,15,11,21
1,1,Frisco,0,Frisco Police Dept,TX,Violent Crime Total,,,,31,16,14,18,41,14,16,26,19,16,19,65,,65,82,58,80,72,98,92,105,108,129,122,98,103,118
0,0,Gainesville,0,Gainesville Police Dept,TX,Violent Crime Total,25,32,26,40,65,59,58,32,40,53,46,35,29,14,34,26,29,133,98,54,76,132,92,79,90,54,63,89,89,78
0,0,Galveston,1,Galveston County Sheriff Office,TX,Violent Crime Total,48,86,52,67,76,99,153,108,177,209,183,268,279,298,173,208,205,228,162,191,189,140,147,144,165,112,81,106,85,147
0,0,Galveston,0,Galveston Police Dept,TX,Violent Crime Total,867,1041,779,584,557,744,1004,1104,1060,1550,1367,1093,710,365,468,,,,473,486,530,591,584,443,413,373,302,296,236,256
1,1,Garland,0,Garland Police Dept,TX,Violent Crime Total,444,524,558,583,621,717,892,970,1072,962,960,777,526,505,495,471,592,628,735,561,655,576,763,773,608,492,530,540,514,644
0,0,Gatesville,0,Gatesville Police Dept,TX,Violent Crime Total,11,22,16,17,12,20,21,18,16,13,30,15,19,31,30,31,38,50,38,39,26,26,34,21,20,22,32,17,22,15
0,0,Georgetown,0,Georgetown Police Dept,TX,Violent Crime Total,16,25,46,33,68,74,68,64,50,38,46,38,34,33,30,17,26,42,30,54,44,49,65,66,54,54,65,66,71,67
0,0,Glenn,0,Glenn Heights Police Dept,TX,Violent Crime Total,,,,5,1,6,7,9,13,4,31,17,14,26,13,33,31,26,22,28,41,31,33,41,33,49,45,49,30,44
0,0,Grand,0,Grand Prairie Police Dept,TX,Violent Crime Total,520,759,691,660,658,865,991,1006,734,617,695,1156,1334,552,465,446,384,523,495,449,449,490,608,545,524,599,591,499,511,482
0,0,Grapevine,0,Grapevine Police Dept,TX,Violent Crime Total,48,58,52,50,53,69,98,114,109,80,67,74,36,46,56,44,67,98,120,90,91,92,88,102,82,75,91,71,88,62
0,0,Grayson,1,Grayson County Sheriff Department,TX,Violent Crime Total,79,83,44,34,33,43,43,40,49,47,32,45,59,37,47,37,39,33,44,51,42,32,26,39,35,42,56,50,74,45
0,0,Greenville,0,Greenville Police Dept,TX,Violent Crime Total,450,510,644,703,,905,903,546,332,395,338,269,253,214,316,240,294,317,309,236,212,230,189,264,194,210,181,166,204,143
0,0,Groves,0,Groves Police Dept,TX,Violent Crime Total,15,16,25,26,15,18,18,21,25,24,26,31,28,33,27,13,25,42,25,20,22,38,39,43,53,52,59,73,79,95
0,0,Guadalupe,1,Guadalupe County Sheriff Department,TX,Violent Crime Total,23,13,8,9,14,12,10,17,118,178,290,279,167,77,106,105,86,105,78,97,126,103,107,88,68,59,78,109,85,69
0,0,Haltom,0,Haltom City Police Dept,TX,Violent Crime Total,112,139,108,125,114,160,169,248,276,260,204,250,291,180,,127,155,147,178,202,165,190,153,191,139,173,119,106,110,108
0,0,Hardin,1,Hardin County Sheriff Department,TX,Violent Crime Total,33,32,29,38,52,58,45,30,54,31,19,32,49,54,48,45,54,90,30,54,47,46,30,43,38,38,50,48,34,44
0,0,Harker,0,Harker Heights Police Dept,TX,Violent Crime Total,63,55,55,71,83,70,105,120,150,232,45,84,70,36,51,28,28,43,52,42,34,27,51,48,56,45,71,123,90,76
0,0,Harlingen,0,Harlingen Police Dept,TX,Violent Crime Total,207,204,143,193,236,287,405,429,429,444,367,318,319,305,350,303,328,289,324,337,330,353,334,455,300,399,337,271,264,146
0,0,Harris,1,Harris County Sheriff Office,TX,Violent Crime Total,2449,2841,2774,3121,3033,3757,4458,5032,5223,4457,5228,6056,5593,4837,4584,4592,5201,6140,6569,6995,6952,7539,6731,7924,8439,8089,,7416,8589,8668
0,0,Harrison,1,Harrison County Sheriff Office,TX,Violent Crime Total,58,52,45,71,68,72,80,72,142,104,55,41,50,92,104,18,54,110,90,142,96,142,104,84,108,112,97,70,55,77
0,0,Hays,1,Hays County Sheriff Office,TX,Violent Crime Total,42,49,37,43,76,78,93,64,82,104,122,61,129,114,151,203,94,71,75,69,104,72,78,182,139,116,77,67,159,193
0,0,Henderson,1,Henderson County Sheriff Department,TX,Violent Crime Total,44,72,99,55,36,129,191,94,99,108,106,83,99,89,99,107,189,273,225,266,274,246,203,147,279,168,192,204,181,181
0,0,Henderson,0,Henderson Police Dept,TX,Violent Crime Total,48,45,63,65,108,131,199,287,293,246,130,240,235,219,209,148,154,187,189,163,143,125,95,98,86,85,80,,96,62
0,0,Hereford,0,Hereford Police Dept,TX,Violent Crime Total,48,89,242,116,116,78,69,67,69,78,94,67,86,113,107,111,115,76,69,65,65,60,62,77,72,62,54,32,55,47
0,0,Hewitt,0,Hewitt Police Dept,TX,Violent Crime Total,12,21,12,10,15,11,26,58,42,15,11,13,10,11,11,17,18,11,14,14,11,17,28,25,14,34,21,11,14,16
0,0,Hidalgo,1,Hidalgo County Sheriff Department,TX,Violent Crime Total,369,392,378,311,275,309,380,678,1268,956,818,802,885,1159,1118,1218,1552,1212,1117,1245,1293,1067,833,887,1085,640,525,526,437,555
0,0,Hidalgo,0,Hidalgo Police Dept,TX,Violent Crime Total,13,17,13,14,7,11,34,27,26,33,15,35,46,20,45,36,35,34,44,43,33,27,16,14,11,16,13,12,,49
0,0,Highland,0,Highland Village Police Dept,TX,Violent Crime Total,3,5,4,3,5,5,2,1,4,4,9,2,6,2,6,3,3,12,6,12,6,13,16,13,6,3,7,6,8,7
0,0,Hood,1,Hood County Sheriff Office,TX,Violent Crime Total,31,13,17,32,39,51,71,32,27,37,53,48,46,39,46,42,77,52,60,52,45,48,39,47,62,86,68,49,50,73
0,0,Horizon,0,Horizon City Police Dept,TX,Violent Crime Total,,,,,,,,7,8,14,5,7,6,8,8,4,14,4,5,5,5,20,13,19,16,18,17,28,13,9
1,1,Houston,0,Houston Police Dept,TX,Violent Crime Total,16461,20576,18971,19817,19528,22637,26651,24837,25069,22986,22260,22456,21157,20183,21517,21491,23419,24958,23988,23427,23987,24250,24564,24779,25593,22491,20892,21610,20993,22008
0,0,Humble,0,Humble Police Dept,TX,Violent Crime Total,91,88,81,98,93,68,100,112,103,104,108,88,133,95,105,66,88,118,123,101,127,106,125,116,171,153,114,106,95,106
0,0,Hunt,1,Hunt County Sheriff Department,TX,Violent Crime Total,68,87,57,19,32,60,95,49,61,102,102,99,94,114,211,78,62,58,72,49,47,36,36,59,130,93,76,176,96,164
0,0,Huntsville,0,Huntsville Police Dept,TX,Violent Crime Total,80,127,174,124,127,157,145,192,220,162,151,204,180,173,165,154,122,168,158,132,135,142,168,176,188,159,188,202,213,211
0,0,Hurst,0,Hurst Police Dept,TX,Violent Crime Total,169,176,155,212,207,189,262,268,309,311,261,215,232,103,119,134,139,150,173,189,169,203,204,192,191,167,177,217,205,143
0,0,Hutto,0,Hutto Police Dept,TX,Violent Crime Total,,,,,4,4,3,2,1,,2,5,1,3,2,7,9,12,4,13,10,6,22,12,29,28,14,21,8,13
0,1,Irving,0,Irving Police Dept,TX,Violent Crime Total,845,852,736,678,656,686,772,833,675,695,831,804,733,786,737,784,816,803,873,815,910,850,729,722,604,529,514,507,530,512
1,1,Jacinto,0,Jacinto City Police Dept,TX,Violent Crime Total,47,68,22,26,27,25,40,35,35,40,36,29,30,39,29,24,14,42,19,69,33,79,89,38,35,25,18,29,,10
0,0,Jacksonville,0,Jacksonville Police Dept,TX,Violent Crime Total,27,52,47,82,153,82,71,79,76,59,80,83,69,95,125,90,101,82,96,94,78,85,106,118,120,95,175,159,111,105
0,0,Jasper,1,Jasper County Sheriff Office,TX,Violent Crime Total,24,16,11,12,8,8,5,16,49,38,44,37,62,69,98,101,74,69,59,91,78,85,14,42,74,80,61,70,81,76
0,0,Jefferson,1,Jefferson County Sheriff Office,TX,Violent Crime Total,38,56,68,42,44,40,52,72,83,65,63,41,40,44,51,25,46,45,41,31,40,42,27,33,32,25,25,38,30,45
